CODIGO;DESCRIPCION;stock_total;costo_normal;precio_mayor_normal;precio_docena_normal;precio_unidad_normal;costo_distribuidor;precio_mayor_dist;precio_docena_dist;precio_unidad_dist
HYG-19;BOLSA PARA FLORES EN CELOFAN DE 47*34*19 CM (PQT/10PCS);20;26.34;39.5;47.4;56.9;28.97;43.5;52.2;62.6
HYG-20;ADORNO DE PLASTICO TIPO FLORERO  DE 12.7*24.3*10 CM;400;0.61;0.9;1.1;1.3;0.67;1;1.2;1.4
HYG-21;ADORNO DE PLASTICO TIPO PILETA DE 68.5*38.5*63 CM (SET/4PCS);64;24.72;37.1;44.5;53.4;27.19;40.8;49;58.8
HYG-22;FLORERO DE CARTON PLEGABLE TIPO CANASTA DE 22.5*18 CM;96;7.2;10.8;13;15.6;7.92;11.9;14.3;17.2
HYG-23;FLORERO DE CARTON PLEGABLE TIPO CANASTA DE 17*7.5*32.5 CM (PQT/10PCS);60;12.78;19.2;23;27.6;14.06;21.1;25.3;30.4
HYG-24;FLORERO DE CARTON PLEGABLE TIPO CANASTA DE 20*9*24 CM (PQT/10PCS);50;11.16;16.7;20;24;12.28;18.4;22.1;26.5
HYG-25;LAMINA DE PAPEL BOPP DE 50*56 CM (PQT/40PCS);200;4.8;7.2;8.6;10.3;5.28;7.9;9.5;11.4
HYG-26;ADORNO DE PAPEL  DE 50*37 CM (PQT/10PCS);100;3.85;5.8;7;8.4;4.24;6.4;7.7;9.2
HYG-27;ADORNO DE PAPEL TIPO MARIPOSA DE 50*56 CM (PQT/10PCS);100;4.41;6.6;7.9;9.5;4.85;7.3;8.8;10.6
HYG-28-1;CINTA DE POLYESTER DE 2.5 CM * 33 YARDAS;732;0.61;0.9;1.1;1.3;0.67;1;1.2;1.4
HYG-28-2;CINTA DE POLYESTER DE 2.5 CM * 33 YARDAS;120;4.41;6.6;7.9;9.5;4.85;7.3;8.8;10.6
HYG-28-3;CINTA DE POLYESTER DE 2.5 CM * 33 YARDAS;120;4.41;6.6;7.9;9.5;4.85;7.3;8.8;10.6
HYG-28-4;CINTA DE POLYESTER DE 2.5 CM * 33 YARDAS;90;2.12;3.2;3.8;4.6;2.33;3.5;4.2;5
HYG-28-5;CINTA DE POLYESTER DE 2.5 CM * 33 YARDAS;120;3.24;4.9;5.9;7.1;3.56;5.3;6.4;7.7
HYG-28-6;CINTA DE POLYESTER DE 2.5 CM * 33 YARDAS;120;2.4;3.6;4.3;5.2;2.64;4;4.8;5.8
HYG-29;ADORNO DE PLASTICO PARA FLORES TIPO MARIPOSA DE 28*32.5 CM (PQT/3PCS);100;4.19;6.3;7.6;9.1;4.61;6.9;8.3;10
HYG-30;ADORNO DE PLASTICO PARA FLORES TIPO CIRCULAR DE 21*25 CM (PQT/2PCS);320;4.19;6.3;7.6;9.1;4.61;6.9;8.3;10
HYG-31;ADORNO DE PLASTICO PARA FLORES TIPO CORAZON DE 33*31 CM (PQT/3PCS);500;4.19;6.3;7.6;9.1;4.61;6.9;8.3;10
HYG-32;"GLOBO METALICO DE 18"" (PQT/20PCS)";100;6.81;10.2;12.2;14.6;7.49;11.2;13.4;16.1
HYG-33;PORTA TARJETERO DE METAL DE 3.5*34 CM (PQT/10PCS);300;1.79;2.7;3.2;3.8;1.97;3;3.6;4.3
HYG-34;ROLLO DE ALAMBRE RECUBIERTO DE PAPEL DE 200 MTS;50;8.82;13.2;15.8;19;9.7;14.6;17.5;21
HYG-35;TARJETAS DE PAPEL DE 26*36 CM (PQT/4PCS);100;4.02;6;7.2;8.6;4.42;6.6;7.9;9.5
HYG-36;FOLLAJE DE FLOR PLASTICO DE 11.5*1.7 CM + 34*0.63 CM (PQT/100PCS);30;54.24;81.4;97.7;117.2;59.66;89.5;107.4;128.9
ZP;CARPA 40% POLIETILENO, 60% POLIESTER, 30%  14*30*3.70 MTS (INCLUYE SUS ACCESORIOS PARA ARMAR) ;2;44443.73;66665.6;79998.7;95998.4;48888.1;73332.2;87998.6;105598.3
ZP-06 ;CARPA PARA DEPOSITO 12*40 MTS 40% POLIETILENO, 60% POLIESTER (INCLUYE SUS ACCESORIOS PARA ARMAR) ;1;81797.2;122695.8;147235;176682;89976.92;134965.4;161958.5;194350.2
TY-01N;SOMBRILLA CON LUCES 7 MTS DE DIAMETRO;2;7427.17;11140.8;13369;16042.8;8169.89;12254.8;14705.8;17647
OY-01;HOJAS ARTIFICIALES 80 CM;1200;3.07;4.6;5.5;6.6;3.38;5.1;6.1;7.3
OY-CH;HOJAS ARTIFICIALES 1 MT;2880;0.85;1.3;1.6;1.9;0.94;1.4;1.7;2
OY-ILC;FLORES ARTIFICIALES EN VARA 60 CM;4800;1.31;2;2.4;2.9;1.44;2.2;2.6;3.1
OY-FL;FLORES ARTIFICIALES EN RAMO X 7 CABEZAS 42 CM;1968;2.16;3.2;3.8;4.6;2.38;3.6;4.3;5.2
WS-693S;JACUZZI 2150*2150*900 MM;1;17043.89;25565.8;30679;36814.8;18748.28;28122.4;33746.9;40496.3
WS-1233;CUARTO DE SAUNA 2200*2000*2100 MM;1;19534.64;29302;35162.4;42194.9;21488.1;32232.2;38678.6;46414.3
PTA-LED;PISO LED 50*50 CM;144;437.03;655.5;786.6;943.9;480.73;721.1;865.3;1038.4
